Date,Close,XOM,GOLD,BAC,DE_AGRI,BA,Labels
2002-07-31,47.98,36.76,12.8,66.5,42.02,41.52,001000
2002-08-01,45.75,33.65,12.9,64.8,41.65,40.63,001000
2002-08-02,44.41,33.61,13.0,63.51,39.95,39.85,001000
2002-08-05,43.99,32.5,13.05,62.06,39.81,38.61,111111
2002-08-06,45.67,33.4,13.08,63.73,40.9,39.41,111111
2002-08-07,47.09,34.3,13.15,65.25,41.28,41.1,110111
2002-08-08,48.91,36.0,13.0,68.39,42.61,41.5,011110
2002-08-09,48.12,36.1,13.1,68.81,43.05,41.0,101000
2002-08-12,48.47,35.73,13.45,68.45,42.02,40.5,000010
2002-08-13,47.06,34.84,13.44,67.36,46.2,37.23,110110
2002-08-14,49.71,36.39,13.2,69.0,46.5,36.35,111101
2002-08-15,49.77,37.14,13.65,69.4,46.25,37.49,100001
2002-08-16,50.0,36.85,13.6,68.71,46.11,37.5,110111
2002-08-19,52.0,37.16,13.5,70.1,47.33,38.5,001000
2002-08-20,51.04,36.18,13.7,69.01,46.75,37.88,111110
2002-08-21,52.28,36.44,13.84,69.54,46.95,37.57,110111
2002-08-22,53.23,37.03,13.84,70.35,47.04,38.5,001000
2002-08-23,52.22,36.15,14.28,69.4,47.04,37.13,011110
2002-08-26,52.1,36.67,14.7,71.0,47.43,36.89,011101
2002-08-27,50.84,36.9,15.0,71.4,46.89,37.03,001001
2002-08-28,49.38,35.62,15.39,70.01,45.8,37.53,101100
2002-08-29,50.58,35.39,15.49,70.36,45.34,37.17,010010
2002-08-30,49.08,35.45,15.25,70.08,45.92,37.07,001000
2002-09-03,47.02,33.62,16.4,67.13,45.05,35.46,111111
2002-09-04,48.21,33.82,16.45,67.37,45.43,36.85,001010
2002-09-05,45.91,33.77,16.7,67.32,45.44,36.03,111111
2002-09-06,47.82,34.31,17.1,69.29,46.6,37.21,101011
2002-09-09,48.7,34.0,18.33,69.25,47.47,37.35,110000
2002-09-10,49.79,34.79,18.0,68.53,47.08,37.18,000100
2002-09-11,48.58,34.6,18.0,68.74,46.94,37.08,001010
2002-09-12,47.15,33.59,18.15,67.33,48.25,36.45,111100
2002-09-13,47.91,34.08,18.4,68.3,47.99,35.58,011101
2002-09-16,47.78,34.4,19.5,68.98,47.23,37.23,000000
2002-09-17,47.29,33.07,19.05,68.05,46.55,36.29,110011
2002-09-18,47.75,33.2,18.85,66.3,46.69,36.77,001000
2002-09-19,47.2,32.36,19.24,63.36,45.55,35.52,110001
2002-09-20,47.46,32.87,19.0,63.1,45.2,36.48,000110
2002-09-23,45.23,32.72,19.0,63.85,45.25,35.4,100000
2002-09-24,45.64,31.95,18.75,62.0,43.69,34.96,110111
2002-09-25,46.51,32.61,18.35,63.5,45.3,35.41,010111
2002-09-26,46.2,34.15,17.2,65.92,46.28,36.55,001000
2002-09-27,45.25,32.82,17.85,64.08,45.01,34.7,001010
2002-09-30,43.74,31.9,18.08,63.8,45.45,34.13,110111
2002-10-01,46.23,33.92,17.5,66.15,47.2,36.0,000000
2002-10-02,45.61,32.65,17.4,64.19,46.23,34.38,010000
2002-10-03,44.8,33.18,17.4,59.8,46.06,34.31,000000
2002-10-04,43.77,33.06,16.65,58.0,44.0,32.01,110001
2002-10-07,44.05,33.19,16.45,55.6,43.56,32.38,100110
2002-10-08,44.99,32.7,15.25,57.2,44.42,32.01,011000
2002-10-09,43.99,32.83,15.4,54.15,42.16,30.44,110111
2002-10-10,46.38,33.79,15.02,56.66,43.51,31.35,110111
2002-10-11,48.87,34.54,14.6,59.4,44.77,32.0,111100
2002-10-14,49.29,34.93,15.0,60.71,43.57,31.06,110111
2002-10-15,52.29,36.3,15.0,65.75,46.28,32.15,001100
2002-10-16,50.41,35.53,15.5,66.85,45.96,30.5,111110
2002-10-17,50.77,36.3,16.0,68.58,46.91,29.98,101110
2002-10-18,53.15,36.0,16.2,69.32,47.25,29.0,000111
2002-10-21,52.51,36.0,16.0,70.35,49.04,30.36,001000
2002-10-22,51.67,35.18,16.99,69.65,47.26,30.14,101111
2002-10-23,53.2,35.13,17.0,70.1,47.69,30.7,001000
2002-10-24,51.23,34.67,17.2,68.48,46.98,29.95,111111
2002-10-25,52.68,35.11,17.38,69.82,46.99,30.32,000000
2002-10-28,51.95,34.64,17.25,69.5,46.05,28.98,100001
2002-10-29,52.07,33.23,17.25,69.44,46.04,29.7,110111
2002-10-30,53.11,34.08,16.79,70.45,46.56,30.2,101000
2002-10-31,53.47,33.66,16.8,69.8,46.39,29.75,011111
2002-11-01,53.0,34.66,17.0,70.26,47.13,30.4,101000
2002-11-04,56.1,34.26,17.45,70.26,46.93,29.67,110101
2002-11-05,56.68,35.58,17.01,71.02,46.69,31.52,101011
2002-11-06,57.03,35.11,17.62,70.09,46.94,33.58,000010
2002-11-07,56.01,34.48,17.5,67.44,48.52,32.29,010011
